1 6 12 12	1	(1+(12*12))*6		
1 8 10 11	1	10*((11*8)-1)		
2 6 11 13	1	((11*13)+2)*6		
3 7 10 12	1	10*((12*7)+3)		
3 9 10 10	1	10*((10*9)-3)		
4 7 10 13	1	10*((13*7)-4)		
5 5 13 13	1	((13*13)+5)*5		
6 6 12 12	1	(12*(12*6))+6		
6 8 9 12	1	(12*(8*9))+6		
6 9 9 10	1	10*(6+(9*9))		
6 9 10 13	1	10*((13*6)+9)		
6 11 12 13	3	((12*13)-11)*6	((11*12)+13)*6	(11*(13*6))+12
7 8 10 10	1	10*((10*8)+7)		
7 10 10 11	1	10*(10+(11*7))		
8 9 10 12	1	10*((12*8)-9)		
8 10 10 11	1	(10*(11*8))-10		
9 10 11 12	1	10*((11*9)-12)		
10 10 10 13	1	10*((10*10)-13)		
